ExpDay,Treatment,mesocosm,Species,Genus,abund,size_fract,label,fun_grp,vol,biovolume
12,E,15,Merismopedia,Merismopedia,64.2549019607843,small,CyaMer000_0000000,I,57.9755208278333,3725.21140691784
12,E,15,Stephanodiscus,Stephanodiscus,97.4901960784314,small,BacSte000_3193250,VI,NA,NA
12,E,15,Cyclotella,Cyclotella,418.764705882353,small,BacCyc000_3193095,VI,1359.03125,569114.321691177
12,E,15,Chrysochromulina,Chrysochromulina,24.3725490196078,small,PryChr000_3202213,I,4353.10583333375,106096.285310468
12,E,15,Chlamydomonas,Chlamydomonas,13.2941176470588,small,ChlChl000_5271004,I,512.692222223333,6815.79071896902
12,E,15,Ankyra judayi,Ankyra,6.64705882352941,small,ChlAnkjud_2642105,IV,112.8306667,749.992078652941
12,E,15,Rhodomonas,Rhodomonas,31.0196078431372,small,CryRho000_3202546,I,96.67765625,2998.90298406863
12,E,15,Oocystis,Oocystis,22.156862745098,small,TreOoc000_2641454,IV,1180.14002970929,26148.2006582646
12,E,15,Cryptomonas,Cryptomonas,4.43137254901961,small,CryCry000_3202413,V,1644.2243666,7286.17072258039
12,E,15,Elakatothrix gelatinosa,Elakatothrix,13.2941176470588,small,KleElagel_2641001,IV,157,2087.17647058823
12,E,15,Quadrigula,Quadrigula,4.43137254901961,small,ChlQua000_2641259,IV,69.4288889,307.665272380392
12,E,15,Desmodesmus,Desmodesmus,2.2156862745098,small,ChlDes000_2652440,IV,225.120555543333,498.796525027386
12,E,15,Cryptomonas,Cryptomonas,6.64705882352941,small,CryCry000_3202413,V,1644.2243666,10929.2560838706
12,E,15,Coelastrum,Coelastrum,2.2156862745098,small,ChlCoe000_7749802,IV,586.13333335,1298.68758173627
12,E,15,Golenkinia radiata,Golenkinia,11.078431372549,small,ChlGolrad_2641100,IV,1022.135417,11323.6570706863
12,C,10,Merismopedia,Merismopedia,58.2767295597484,small,CyaMer000_0000000,I,57.9755208278333,3378.62374836921
12,C,10,Cyclotella,Cyclotella,417.88679245283,small,BacCyc000_3193095,VI,1359.03125,567921.20990566
12,C,10,Snowella,Snowella,2.84276729559748,small,CyaSno000_3217087,I,463.368055566667,1317.24755418952
12,C,10,Golenkinia radiata,Golenkinia,11.3710691823899,small,ChlGolrad_2641100,IV,1022.135417,11622.772540478
12,C,10,Chrysochromulina,Chrysochromulina,9.94968553459119,small,PryChr000_3202213,I,4353.10583333375,43312.0341404654
12,C,10,Chlamydomonas,Chlamydomonas,12.7924528301887,small,ChlChl000_5271004,I,512.692222223333,6558.5910691966
12,C,10,Stephanodiscus,Stephanodiscus,5.68553459119497,small,BacSte000_3193250,VI,NA,NA
12,C,10,Elakatothrix gelatinosa,Elakatothrix,5.68553459119497,small,KleElagel_2641001,IV,157,892.62893081761
12,C,10,Tetraedron,Tetraedron,1.42138364779874,small,ChlTet000_2672378,IV,661.625,940.422955974843
12,C,10,Rhodomonas,Rhodomonas,1.42138364779874,small,CryRho000_3202546,I,96.67765625,137.416039701258
12,C,10,Oocystis,Oocystis,1.42138364779874,small,TreOoc000_2641454,IV,1180.14002970929,1677.4317403415
36,E,6,Desmodesmus,Desmodesmus,930,small,ChlDes000_2652440,IV,225.120555543333,209362.1166553
36,E,6,Scenedesmus arcuatus,Scenedesmus,12.2368421052632,small,ChlScearc_2640846,IV,586.357619042857,7175.16560144549
36,E,6,Quadrigula,Quadrigula,61.1842105263158,small,ChlQua000_2641259,IV,69.4288889,4247.95175506579
36,E,6,Oocystis,Oocystis,44.8684210526316,small,TreOoc000_2641454,IV,1180.14002970929,52951.0197540614
36,E,6,Merismopedia,Merismopedia,77.5,small,CyaMer000_0000000,I,57.9755208278333,4493.10286415708
36,E,6,Rhodomonas,Rhodomonas,289.605263157895,small,CryRho000_3202546,I,96.67765625,27998.3580797697
36,E,6,Cryptomonas,Cryptomonas,24.4736842105263,small,CryCry000_3202413,V,1644.2243666,40240.2279194211
36,E,6,Kirchneriella,Kirchneriella,4.07894736842105,small,ChlKir000_2641223,IV,131.618333315,536.864254311184
36,E,6,Cyclotella,Cyclotella,106.052631578947,small,BacCyc000_3193095,VI,1359.03125,144128.840460526
36,E,6,Eudorina,Eudorina,8.15789473684211,small,ChlEud000_0000000,VII,678.5226,5535.31594736842
36,E,6,Ankyra judayi,Ankyra,12.2368421052632,small,ChlAnkjud_2642105,IV,112.8306667,1380.69105303947
36,E,6,Ankistrodesmus,Ankistrodesmus,4.07894736842105,small,ChlAnk000_9516573,IV,40.9835416675,167.169709433224
36,E,6,Chrysochromulina,Chrysochromulina,24.4736842105263,small,PryChr000_3202213,I,4353.10583333375,106536.53750001
36,E,6,Cryptomonas,Cryptomonas,8.15789473684211,small,CryCry000_3202413,V,1644.2243666,13413.4093064737
36,E,6,Stauridium,Stauridium,12.2368421052632,small,ChlSta000_4339881,IV,NA,NA
36,E,6,Elakatothrix gelatinosa,Elakatothrix,126.447368421053,small,KleElagel_2641001,IV,157,19852.2368421053
36,E,6,Snowella,Snowella,57.1052631578947,small,CyaSno000_3217087,I,463.368055566667,26460.7547520965
36,E,6,Golenkinia radiata,Golenkinia,4.07894736842105,small,ChlGolrad_2641100,IV,1022.135417,4169.23656934211
36,E,6,Chlamydomonas,Chlamydomonas,8.15789473684211,small,ChlChl000_5271004,I,512.692222223333,4182.48918129561
36,E,6,Sphaerocystis,Sphaerocystis,12.2368421052632,small,ChlSph000_2639562,I,262.068511908571,3206.89100098647
36,E,6,Coelastrum,Coelastrum,12.2368421052632,small,ChlCoe000_7749802,IV,586.13333335,7172.42105283553
36,E,6,Tetraedron,Tetraedron,4.07894736842105,small,ChlTet000_2672378,IV,661.625,2698.73355263158
36,C,7,Merismopedia,Merismopedia,72.3648648648649,small,CyaMer000_0000000,I,57.9755208278333,4195.39073017632
36,C,7,Chrysochromulina,Chrysochromulina,12.4054054054054,small,PryChr000_3202213,I,4353.10583333375,54002.0426351403
36,C,7,Rhodomonas,Rhodomonas,169.540540540541,small,CryRho000_3202546,I,96.67765625,16390.7820988176
