ExpDay,Treatment,mesocosm,Genus,label,indiv_vol,biovolume
0,E,4,Cryptomonas,CryCry000_3202413,1570.97701650429,138071.424450544
0,E,4,Plagioselmis,CryRho000_3202546,77.4146568923807,35234.4209217127
0,E,4,Chrysochromulina,PryChr000_3202213,41.8317354512224,3282.62924026953
0,E,4,Chlamydomonas,ChlChl000_5271004,75.43548062953,7103.50775928074
0,E,4,Centrales,BacCyc000_3193095,5861.0694928046,2373244.72212813
0,E,4,Quadrigula,ChlQua000_2641259,220.539804282003,17306.2485304628
0,D,13,Plagioselmis,CryRho000_3202546,77.4146568923807,42837.338951195
0,D,13,Chlamydomonas,ChlChl000_5271004,75.43548062953,13522.1092499886
0,D,13,Centrales,BacCyc000_3193095,5861.0694928046,4316677.68145059
0,D,13,Chrysochromulina,PryChr000_3202213,41.8317354512224,2771.18647469328
0,D,13,Cryptomonas,CryCry000_3202413,1570.97701650429,85705.5239004009
0,D,13,Merismopedia,CyaMer000_0000000,0.116238921777732,39.86072485851
0,D,13,Quadrigula,ChlQua000_2641259,220.539804282003,17188.1022067403
0,D,13,Desmodesmus,ChlDes000_2652440,40.687969226831,1268.43129462692
0,D,13,Elakatothrix,KleElagel_2641001,62.6744384967178,488.462687331562
20,C,7,Merismopedia,CyaMer000_0000000,0.116238921777732,180.865569098948
20,C,7,Plagioselmis,CryRho000_3202546,77.4146568923807,9162.68193746989
20,C,7,Centrales,BacCyc000_3193095,5861.0694928046,1421254.05889669
20,C,7,Cryptomonas,CryCry000_3202413,1570.97701650429,11337.7114870357
20,C,7,Chlamydomonas,ChlChl000_5271004,75.43548062953,979.949592706253
20,C,7,Quadrigula,ChlQua000_2641259,220.539804282003,31832.6321274967
20,C,7,Chrysochromulina,PryChr000_3202213,41.8317354512224,1569.87399646191
20,C,7,Elakatothrix,KleElagel_2641001,62.6744384967178,1628.35286433925
20,C,7,Tetraedron,ChlTet000_2672378,27,38.9716981132075
20,I,3,Merismopedia,CyaMer000_0000000,0.116238921777732,170.185405374778
20,I,3,Oocystis,TreOoc000_2641454,211.647598311258,2560.93593956622
20,I,3,Quadrigula,ChlQua000_2641259,220.539804282003,28909.092677966
20,I,3,Centrales,BacCyc000_3193095,5861.0694928046,307315.410406054
20,I,3,Desmodesmus,ChlDes000_2652440,40.687969226831,18051.895680304
20,I,3,Cryptomonas,CryCry000_3202413,1570.97701650429,38017.6437994039
20,I,3,Chlamydomonas,ChlChl000_5271004,75.43548062953,1217.02575415642
20,I,3,Chrysochromulina,PryChr000_3202213,41.8317354512224,590.524665453089
20,I,3,Elakatothrix,KleElagel_2641001,62.6744384967178,10364.2629794072
20,I,3,Plagioselmis,CryRho000_3202546,77.4146568923807,1873.43469679561
20,I,3,Ankyra,ChlAnkjud_2642105,32.5417369775149,459.380853665918
20,I,3,Coelastrum,ChlCoe000_7749802,167.373863544576,675.074582963124
20,I,3,Sphaerocystis,ChlSph000_2639562,62.6538811980344,252.703987498739
20,D,8,Chrysochromulina,PryChr000_3202213,41.8317354512224,1254.95206353667
20,D,8,Merismopedia,CyaMer000_0000000,0.116238921777732,138.091839071946
20,D,8,Elakatothrix,KleElagel_2641001,62.6744384967178,1504.18652392123
20,D,8,Centrales,BacCyc000_3193095,5861.0694928046,386830.586525103
